text,intent,source
ट्रांसम्यूट की परिभाषा क्या है,answer_query,clinc150
मुझे एक मज़ेदार चुटकुला खोजना है जो बच्चों के लिए ठीक हो,answer_query,hwu64
क्या नरेंद्र मोदी का नेपाल से कोई संबंध है,answer_query,massive
क्या दोपहर में बारिश होगी,answer_query,massive
क्या बुधवार के लिए मौसम बिल्कुल बदल गया है,answer_query,hwu64
क्या गर्म रहेगा,answer_query,massive
चार जोड पांच बराबर नौ,answer_query,massive
आज के लिए पत्रिका प्रविष्टि,answer_query,hwu64
शब्द देखें,answer_query,hwu64
मार्लन ब्रांडो का जन्म कहाँ हुआ था,answer_query,hwu64
डेनमार्क में एक डॉलर की कीमत कितनी है,answer_query,hwu64
क्या आप पाँच जमा पाँच की गणना कर सकते हैं,answer_query,hwu64
कृपया इस गणित को हल करें,answer_query,hwu64
"आपने आगे जो कहा है, कृपया उसके बारे में मुझे फिर से लिखें।",answer_query,hwu64
जिम्बाब्वे डॉलर में एक आई. एन. आर. के बराबर क्या है,answer_query,hwu64
कृपया माइक्रोवेव के बारे में बताएँ,answer_query,hwu64
मुझे बाहरी अंतरिक्ष के बारे में कुछ दिलचस्प बताएँ,answer_query,clinc150
मध्यम,answer_query,hwu64
मुझे मुर्गियों के बारे में एक चुटकुला बताओ,answer_query,massive
भोपाल और पटना के बीच की दूरी क्या है,answer_query,massive
क्या आप कृपया मुझे इसके बारे में विस्तार से बताएँगे।,answer_query,hwu64
कृपया क्या आप मुझे बता सकते हैं कि मौसम कैसा रहेगा?,answer_query,clinc150
मुझे बताएँ कि किन म्यूचुअल फंडों का अधिकतम वार्षिक रिटर्न है,answer_query,hwu64
गूगल स्टॉक किस पर है,answer_query,hwu64
किसी भी समस्या के लिए विनिमय दर,answer_query,hwu64
विस्तारित पूर्वानुमान क्या है,answer_query,massive
अस्तित्व का उद्देश्य क्या है,answer_query,clinc150
"एस1, क्या आप आगे समझायेंगे।",answer_query,hwu64
चलो कुछ पॉपकॉर्न बनाते हैं और साथ में एक पुरानी फिल्म देखते हैं।,answer_query,hwu64
मुझे शुक्राणु व्हेल के बारे में कुछ दिलचस्प बताएं,answer_query,clinc150
अगले सप्ताह मुंबई महाराष्ट्र में मौसम कैसा रहने वाला है,answer_query,massive
आज धूप है,answer_query,massive
कृपया एक मजाक,answer_query,hwu64
मैडोना का जन्मदिन कब है,answer_query,hwu64
वॉलमार्ट में स्टॉक की कीमत कितनी है,answer_query,massive
कौन मुझे बता सकता है कि जीवन का कोई अर्थ है या नहीं।,answer_query,clinc150
कुर्सी क्या है,answer_query,hwu64
स्टेसी श्रोएडर का जन्मदिन कब है,answer_query,hwu64
मुझे मोबाइल बैटरी के काम करने का विवरण दें,answer_query,hwu64
कौन सा रेगिस्तान सबसे गर्म है,answer_query,massive
आज रात मेरे साथ रात के खाने के बारे में क्या,answer_query,hwu64
क्या आज बारिश होगी,answer_query,clinc150
क्या मुझे आज हल्की या भारी जैकेट चाहिए,answer_query,massive
किसी के बारे में जानकारी की जाँच करें,answer_query,massive
तेरह और चौदह का योग ज्ञात कीजिए।,answer_query,hwu64
6 x 1 के बराबर क्या होता है,answer_query,clinc150
मोरक्को कहाँ स्थित है,answer_query,hwu64
मैं हर दिन शेयर बाजार के बारे में जानकारी प्राप्त करना चाहूंगा,answer_query,hwu64
मुझे अपने उत्तरों के बारे में विस्तार से बताएँ।,answer_query,hwu64
कल कितनी ठंड होगी,answer_query,clinc150
दो सौ को दस से विभाजित करके क्या कहा जाता है,answer_query,hwu64
कृपया अपनी प्रतिक्रिया को और विस्तार से बताएँ।,answer_query,hwu64
दो से दो का परिणाम क्या है,answer_query,hwu64
मुझे माउंट एवरेस्ट की ऊंचाई के बारे में जानने की जरूरत है,answer_query,massive
क्या आप इस मजाक को जानते हैं,answer_query,hwu64
शिमला कहाँ है,answer_query,massive
ओबामा के जीवनसाथी कैसे हैं?,answer_query,hwu64
टाम्पा में तापमान कैसा है,answer_query,clinc150
कृपया मुझे बताएं कि स्क्रूड्राइवर कैसे बनाया जाता है,answer_query,massive
कृपया नैस्डैक में आई. बी. एम. के शेयर की कीमत का पता लगाएँ,answer_query,hwu64
लॉस एंजिल्स कहाँ है,answer_query,hwu64
नवीनतम उपकरणों के बारे में राय,answer_query,hwu64
मुझे एक अच्छा डॉक्टर मजाक बताइए,answer_query,hwu64
क्या आज रात एक हल्की शाम है,answer_query,hwu64
क्या आप मुझे सुक्रोज की परिभाषा बता सकते हैं,answer_query,clinc150
क्या एंजेलिना जोली ने ब्रैड पिट को छोड़ दिया था,answer_query,hwu64
चट्टान की रेत का वर्णन करें,answer_query,hwu64
स्थानीय स्थलों से दूरी,answer_query,massive
इस सप्ताह मौसम पूर्वानुमान क्या है,answer_query,massive
मैं सिर्फ आपके बारे में कुछ जानकारी जानना चाहता हूँ,answer_query,hwu64
मीटर में 12 फीट क्या है,answer_query,clinc150
क्या आज रात बर्फ आ रही है,answer_query,massive
3 जमा 3 क्या है,answer_query,clinc150
एक सेब में कितनी कैलोरी होती है,answer_query,massive
गुफा समुद्र तल से कितनी दूर है,answer_query,hwu64
कृपया आप मुझे इस पर और अधिक स्पष्ट करेंगे।,answer_query,hwu64
कृपया ध्यान दें कि आज मेरे साथ एक भयानक घटना घटी क्योंकि मेरे दोस्त ने मेरे साथ अशिष्ट व्यवहार किया,answer_query,massive
माइकल जैक्सन ने कितने गाने लिखे,answer_query,hwu64
किस क्षेत्र में कम से कम एक हजार मील खुला रेगिस्तान है,answer_query,massive
मुझे पैरों को मीलों में बदलने में मदद करें,answer_query,clinc150
"s2, मैं आपसे मिल नहीं सकता।",answer_query,hwu64
विश्व का सबसे घनी आबादी वाला देश कौन सा है,answer_query,massive
"एस 2, मैंने आपको नहीं पकड़ा।",answer_query,hwu64
"एस 2, अब आपने जो कहा उसके बारे में मैं इतना स्पष्ट नहीं था।",answer_query,hwu64
परोपकार का क्या अर्थ है,answer_query,clinc150
आज मेरा दिन आराम से गुज़रा,answer_query,hwu64
आज आप क्या करना चाहते हैं बाहर खेलें,answer_query,massive
मुझे एक येन में कितने डॉलर मिल सकते हैं,answer_query,hwu64
अरे उकसाने का क्या मतलब है,answer_query,hwu64
मुझे यह जानने की जरूरत है कि इस गीत को क्या कहा जाता है,answer_query,clinc150
टक्सन में सबसे ऊंचा पर्वत कौन सा है,answer_query,massive
मुझे बताएं कि डाई शब्द का क्या अर्थ है,answer_query,clinc150
कैमरों से संबंधित सामान्य ज्ञान का सबसे अनोखा टुकड़ा क्या है,answer_query,clinc150
यू. एस. डी. की स्थिति अब,answer_query,hwu64
हे ओली कैसा चल रहा है,answer_query,massive
डॉलर के मुकाबले पाउंड ऊपर या नीचे है,answer_query,massive
मुझे बताएँ कि फ्लैंज का क्या अर्थ है,answer_query,clinc150
अभी मौसम कितना ठंडा है,answer_query,massive
25 पाउंड में कितने किलो होते हैं,answer_query,clinc150
मार्क लेनगन का अगला एल्बम कब आएगा,answer_query,hwu64
कल का मौसम कैसा रहने वाला है,answer_query,massive
मुझे इंटरनेट पर सबसे अच्छा नॉक नॉक चुटकुला ढूंढें,answer_query,hwu64
इस सप्ताह मौसम किस तरह का रहने वाला है,answer_query,massive
भारतीय रुपया का डॉलर रेट क्या है,answer_query,massive
olly मैं आज किराने की दुकान पर गया था,answer_query,massive
एक जमा दो बराबर,answer_query,hwu64
मौसम,answer_query,clinc150
सीजेडके और यूरो के बीच विनिमय दर क्या है,answer_query,hwu64
गूगल के लिए शेयर की कीमत,answer_query,massive
मुझे छोड़ दो,answer_query,massive
एक फुट से कितने सेंटीमीटर बनते हैं,answer_query,hwu64
मथुरा शहर के मौसम की जाँच करें,answer_query,massive
रिहाना क्या कर रही है,answer_query,hwu64
क्या मुझे आज कोट पहनने की जरूरत है,answer_query,hwu64
समीकरण का उत्तर आठ गुणा सात,answer_query,massive
20 + 20 क्या है,answer_query,clinc150
आज आपके दिमाग में क्या है,answer_query,hwu64
क्या आप जानते हैं कि यह गीत क्या है,answer_query,clinc150
सिनसिनाटी ओहियो में प्लम स्ट्रीट मंदिर का निर्माण कब हुआ था,answer_query,hwu64
सप्ताह के लिए क्या पूर्वानुमान है,answer_query,hwu64
मानव शरीर में कितनी हड्डियाँ होती हैं,answer_query,massive
ज्ञापन,answer_query,massive
मजेदार बातें बताइए,answer_query,hwu64
यू. एस. डी. के लिए यूरो की विदेशी मुद्रा दर,answer_query,hwu64
आप औंस को पाउंड में कैसे बदलते हैं,answer_query,clinc150
पतंजलि के शेयर की कीमत कितनी है,answer_query,massive
मुझे बताएँ कि बारह बजे हमारे शहर में तापमान कितना था,answer_query,hwu64
अनाक्रोनिज्म क्या है,answer_query,clinc150
20 गुना 20 गुना 30 क्या है,answer_query,clinc150
मैंने इसे नहीं पकड़ा।,answer_query,hwu64
कृपया शब्द को परिभाषित करें,answer_query,massive
बचाव का उद्देश्य क्या है,answer_query,clinc150
अमेज़न डील्स,answer_query,hwu64
लक्ष्य का एक हिस्सा खरीदने में कितना खर्च आएगा,answer_query,hwu64
baltimore के लिए ten day का पूर्वानुमान,answer_query,massive
अमेज़न स्टॉक की कीमत,answer_query,hwu64
जीवन का क्या अर्थ है,answer_query,clinc150
फिल्म स्टार अक्षय कुमार के लिए जन्म तिथि,answer_query,massive
यह गाना कौन है जो स्टीरियो पर है,answer_query,clinc150
कृपया मुझे बताएं राम जीवन,answer_query,massive
भारत में सबसे अच्छा छुट्टी बिताने की जगह कहाँ है,answer_query,massive
78 गुना 85 क्या है,answer_query,clinc150
अगर मेरे पास एक बुलबुला है तो वह कितने डॉलर का है?,answer_query,hwu64
रात के खाने के लिए पूरी तरह से पौष्टिक रूप से संतुलित भोजन क्या होगा?,answer_query,hwu64
टाइटैनिक मूवी की कहानी क्या है,answer_query,massive
राष्ट्रपति दिवस कब है,answer_query,hwu64
आज का दिन कठिन था,answer_query,massive
कंप्यूटर की परिभाषा,answer_query,massive
कल सेब का स्टॉक क्या बंद हुआ,answer_query,hwu64
कार के बारे में एक मजेदार मजाक क्या है,answer_query,hwu64
प्रशांत महासागर कितना गहरा है,answer_query,massive
मुझे विक्रमादित्य के बारे में बताएं,answer_query,massive
क्या अभी बारिश हो रही है,answer_query,hwu64
आज का मौसम शानदार है,answer_query,massive
यहाँ आज से कुछ है,answer_query,massive
घर शब्द का क्या अर्थ है,answer_query,hwu64
कुत्तों के बारे में कुछ अद्भुत चीज़ों के नाम बताइए।,answer_query,clinc150
क्या मुझे आज टोपी पहननी चाहिए,answer_query,massive
मेरे जीवन का क्या अर्थ है,answer_query,clinc150
मनमौजी की परिभाषा क्या है,answer_query,massive
ग्रहों में बच्चों का अंतर दिखाएं,answer_query,massive
पेस्टो का क्या अर्थ है,answer_query,hwu64
कल रात फेसबुक का स्टॉक कितना बढ़ा,answer_query,massive
क्या मुझे कल एक छतरी की आवश्यकता होगी,answer_query,hwu64
अभी तापमान क्या है,answer_query,clinc150
मैं इंच और सेंटीमीटर को कैसे परिवर्तित करूं,answer_query,clinc150
अगला लेकर्स खेल कब है,answer_query,hwu64
पेनसिल्वेनिया के लिए मार्च में औसत तापमान क्या है और यह पिछले दस वर्षो की तुलना कैसे करता है,answer_query,massive
लैपटॉप क्या है,answer_query,hwu64
विनिमय दर दिरहम और रुपये,answer_query,massive
